Tracking Domain,Old Consent Category,New Consent Category,Vendor Name,Tracker Type,Tracker Name,Tracker Purpose,Tracker Purpose (Source),Vendor Description,Tracker Duration
consent-pref.trustarc.com,Required Cookies,Essential cookies (exempt from consent),TrustArc,JavaScript,-,Javascript is used to download functionality from the vendor on the browser.,FR Original,"TrustArc provides privacy compliance and risk management with integrated technology, consulting and TRUSTe certification solutions.
<br><a href=https://trustarc.com/terms-of-use/ target=_blank aria-label=""TrustArc Terms and Conditions"">Terms and Conditions</a>
<br><a href=https://trustarc.com/privacy/ target=_blank aria-label=""TrustArc Data Subject Rights"">Data Subject Rights</a>
<br>",
consent-st.trustarc.com,Required Cookies,Essential cookies (exempt from consent),TrustArc,JavaScript,-,Javascript is used to download functionality from the vendor on the browser.,FR Original,"TrustArc provides privacy compliance and risk management with integrated technology, consulting and TRUSTe certification solutions.
<br><a href=https://trustarc.com/terms-of-use/ target=_blank aria-label=""TrustArc Terms and Conditions"">Terms and Conditions</a>
<br><a href=https://trustarc.com/privacy/ target=_blank aria-label=""TrustArc Data Subject Rights"">Data Subject Rights</a>
<br>",
consent.trustarc.com,Required Cookies,Essential cookies (exempt from consent),TrustArc,Beacon,-,This beacon is intended to track web usage and send collected information to the vendor.,,"TrustArc provides privacy compliance and risk management with integrated technology, consulting and TRUSTe certification solutions.
<br><a href=https://trustarc.com/terms-of-use/ target=_blank aria-label=""TrustArc Terms and Conditions"">Terms and Conditions</a>
<br><a href=https://trustarc.com/privacy/ target=_blank aria-label=""TrustArc Data Subject Rights"">Data Subject Rights</a>
<br>",
consent.truste.com,Required Cookies,Essential cookies (exempt from consent),TrustArc,JavaScript,-,Javascript is used to download functionality from the vendor on the browser.,FR Original,"TrustArc provides privacy compliance and risk management with integrated technology, consulting and TRUSTe certification solutions.
<br><a href=https://trustarc.com/terms-of-use/ target=_blank aria-label=""TrustArc Terms and Conditions"">Terms and Conditions</a>
<br><a href=https://trustarc.com/privacy/ target=_blank aria-label=""TrustArc Data Subject Rights"">Data Subject Rights</a>
<br>",
XXXXXXXX.fls.doubleclick.net,Targeted Advertising Cookies,Targeted Advertising Cookies (including social media) [Requires consent],Google Advertising Products,Beacon,-,This beacon is intended to track web usage and send collected information to the vendor.,FR Original,"Google Ads is an online advertising platform developed by Google, where advertisers pay to display brief advertisements, service offerings, product listings, video content and generate mobile application installs within the Google ad network to web users.
<br><a href=https://policies.google.com/terms target=_blank aria-label=""Google Advertising Products Terms and Conditions"">Terms and Conditions</a>
<br>",
485-ikz-407.mktoweb.com,Targeted Advertising Cookies,Targeted Advertising Cookies (including social media) [Requires consent],Marketo,JavaScript,-,Javascript is used to download functionality from the vendor on the browser.,FR Original,"Marketo is a software platform that provides marketing automation solutions for businesses of various sizes. Founded in 2006, Marketo offers a range of tools and functionalities to help marketers automate and streamline their marketing processes, including lead management, email marketing, campaign management, social media marketing, analytics, and more.",
6417571.fls.doubleclick.net,Targeted Advertising Cookies,Targeted Advertising Cookies (including social media) [Requires consent],Google Advertising Products,Beacon,-,This beacon is intended to track web usage and send collected information to the vendor.,FR Original,"Google Ads is an online advertising platform developed by Google, where advertisers pay to display brief advertisements, service offerings, product listings, video content and generate mobile application installs within the Google ad network to web users.
<br><a href=https://policies.google.com/terms target=_blank aria-label=""Google Advertising Products Terms and Conditions"">Terms and Conditions</a>
<br>",
adservice.google.com,Targeted Advertising Cookies,Targeted Advertising Cookies (including social media) [Requires consent],Google Advertising Products,Beacon,-,This beacon is intended to track web usage and send collected information to the vendor.,FR Original,"Google Ads is an online advertising platform developed by Google, where advertisers pay to display brief advertisements, service offerings, product listings, video content and generate mobile application installs within the Google ad network to web users.
<br><a href=https://policies.google.com/terms target=_blank aria-label=""Google Advertising Products Terms and Conditions"">Terms and Conditions</a>
<br>",
casalemedia.com,Targeted Advertising Cookies,Targeted Advertising Cookies (including social media) [Requires consent],Index Exchange Inc.,HTTP Cookie,CMID,"Collects anonymous data related to the user's visits to the website, such as the number of visits, average time spent on the website and what pages have been loaded , with the purpose of displaying targeted ads.",TrustArc ,"Index Exchange is an exchange technology, enabling digital publishers and suppliers to sell ad impressions programmatically and in real time.
<br><a href=http://www.indexexchange.com/terms/ target=_blank aria-label=""Index Exchange Inc. Terms and Conditions"">Terms and Conditions</a>
<br><a href=https://www.indexexchange.com/privacy/rights-exercising-rights/ target=_blank aria-label=""Index Exchange Inc. Data Subject Rights"">Data Subject Rights</a>
<br>",364
cdn.decibelinsight.net,Targeted Advertising Cookies,Targeted Advertising Cookies (including social media) [Requires consent],Medallia,JavaScript,-,Javascript is used to download functionality from the vendor on the browser.,FR Original,"Medallia provides software-as-a-service customer experience management.
<br><a href=https://www.medallia.com/terms-of-use/ target=_blank aria-label=""Medallia Terms and Conditions"">Terms and Conditions</a>
<br>",
X.XXX-XX-XXX.salesforceliveagent.com,Targeted Advertising Cookies,Targeted Advertising Cookies (including social media) [Requires consent],"salesforce.com, inc.",JavaScript,-,Javascript is used to download functionality from the vendor on the browser.,FR Original,"Salesforce.com is a cloud computing company that develops CRM solutions and provides business software on a subscription basis.
<br><a href=https://www.salesforce.com/company/privacy/ target=_blank aria-label=""salesforce.com, inc. Terms and Conditions"">Terms and Conditions</a>
<br><a href=https://www.salesforce.com/company/legal/sfdc-website-terms-of-service/ target=_blank aria-label=""salesforce.com, inc. Data Subject Rights"">Data Subject Rights</a>
<br>",
decibelinsight.net,Targeted Advertising Cookies,Performance Cookies [Requires consent],Medallia,HTTP Cookie,da_lid, Tracks a unique identifier for a specific digital asset or lead.,FR Original,"Medallia provides software-as-a-service customer experience management.
<br><a href=https://www.medallia.com/terms-of-use/ target=_blank aria-label=""Medallia Terms and Conditions"">Terms and Conditions</a>
<br>",364
